"Month","Year","Item","Export Value"
"September","2019","Live animals",63.097
"September","2019","Red meats & products",1249.593
"September","2019","Poultry meats & products",418.176
"September","2019","Dairy products",507.817
"September","2019","Hides & skins",70.565
"September","2019","Grains and feeds",2110.177
"September","2019","Wheat",515.178
"September","2019","Rice",123.853
"September","2019","Corn",380.023
"September","2019","Other grain products",376.806
"September","2019","Animal feeds & oil meal",984.546
"September","2019","Soybeans",1367.78
"September","2019","Other oilseeds",125.509
"September","2019","Vegetable oils",173.855
"September","2019","Fruits & products",509.935
"September","2019","Fruits, fresh",373.948
"September","2019","Fruits, prepared or preserved",135.987
"September","2019","Fruit juices",63.049
"September","2019","Vegetables & products",518.993
"September","2019","Vegetables, fresh",168.243
"September","2019","Vegetables, prepared or preserved",350.75
"September","2019","Tree nuts and preparations",663.812
"September","2019","Wine",104.591
"September","2019","Cotton & linters",371.957
"September","2019","Tobacco, unmanufactured",41.881
"September","2019","Sugar & tropical products",408.973
"October","2019","Live animals",129.601
"October","2019","Red meats & products",1300.333
"October","2019","Poultry meats & products",444.956
"October","2019","Dairy products",526.992
"October","2019","Hides & skins",78.177
"October","2019","Grains & feeds",2208.219
"October","2019","Wheat",474.235
"October","2019","Rice",150.009
"October","2019","Corn",422.799
"October","2019","Other grain products",433.012
"October","2019","Animal feeds & oil meal",1063.295
"October","2019","Soybeans",2135.256
"October","2019","Other oilseeds",137.737
"October","2019","Vegetable oils",265.088
"October","2019","Fruits & products",541.455
"October","2019","Fruits, fresh",392.471
"October","2019","Fruits, prepared or preserved",148.985
"October","2019","Fruit juices",68.462
"October","2019","Vegetables & products",602.014
"October","2019","Vegetables, fresh",200.882
"October","2019","Vegetables, prepared or preserved",401.133
"October","2019","Tree nuts & preparations",1123.732
"October","2019","Wine",127.236
"October","2019","Cotton & linters",251.947
"October","2019","Tobacco, unmanufactured",29.23
"October","2019","Sugar & tropical products",451.646
"November","2019","Live animals",92.813
"November","2019","Red meats & products",1295.241
"November","2019","Poultry meats & products",408.898
"November","2019","Dairy products",441.299
"November","2019","Hides & skins",106.656
"November","2019","Grains & feeds",2622.214
"November","2019","Wheat",387.831
"November","2019","Rice",193.658
"November","2019","Corn",908.207
"November","2019","Other grain products",405.816
"November","2019","Animal feeds & oil meal",1074.083
"November","2019","Soybeans",1680.961
"November","2019","Other oilseeds",126.797
"November","2019","Vegetable oils",246.528
"November","2019","Fruits & products",550.585
"November","2019","Fruits, fresh",412.081
"November","2019","Fruits, prepared or preserved",138.503
"November","2019","Fruit juices",69.522
"November","2019","Vegetables & products",594.851
"November","2019","Vegetables, fresh",223.983
"November","2019","Vegetables, prepared or preserved",370.869
"November","2019","Tree nuts & preparations",1247.794
"November","2019","Wine",113.187
"November","2019","Cotton & linters",281.27
"November","2019","Tobacco, unmanufactured",37.029
"November","2019","Sugar & tropical products",435.158
"December","2019","Live animals",115.548
"December","2019","Red meats & products",1499.181
