"Month","Year","Item","Export Volume"
"September","2019","Red meats & products",394.6562
"September","2019","Poultry meats",290.8914
"September","2019","Nonfat dry milk",68.6073
"September","2019","Wheat",2291.406
"September","2019","Rice",232.5163
"September","2019","Coarse grains",2246.7211
"September","2019","Corn",2028.214
"September","2019","Sorghum",203.701
"September","2019","Soybeans",3889.9919
"September","2019","Oil meal",896.6328
"September","2019","Vegetable oils",122.8194
"September","2019","Fruits, fresh",210.8608
"September","2019","Fruits, prepared or preserved",49.4395
"September","2019","Fruit juices",41.0702
"September","2019","Vegetables, fresh",150.3459
"September","2019","Vegetables, prepared or preserved",217.2322
"September","2019","Nuts & preparations",138.1659
"September","2019","Cotton & linters",198.6745
"September","2019","Major bulk",8864.9147
"October","2019","Red meats & products",424.7785
"October","2019","Poultry meats",328.4088
"October","2019","Nonfat dry milk",72.0202
"October","2019","Wheat",2142.902
"October","2019","Rice",302.0227
"October","2019","Coarse grains",2453.5286
"October","2019","Corn",2303.944
"October","2019","Sorghum",134.528
"October","2019","Soybeans",5944.5981
"October","2019","Oil meal",1050.9303
"October","2019","Vegetable oils",242.2406
"October","2019","Fruits, fresh",233.3874
"October","2019","Fruits, prepared or preserved",52.4873
"October","2019","Fruit juices",46.2474
"October","2019","Vegetables, fresh",176.4563
"October","2019","Vegetables, prepared or preserved",253.2625
"October","2019","Nuts & preparations",223.6099
"October","2019","Cotton & linters",160.5106
"October","2019","Major bulk",11007.7664
"November","2019","Red meats & products",388.7765
"November","2019","Poultry meats",317.0365
"November","2019","Nonfat dry milk",51.4272
"November","2019","Wheat",1632.009
"November","2019","Rice",392.2427
"November","2019","Coarse grains",5314.651
"November","2019","Corn",5076.177
"November","2019","Sorghum",227.512
"November","2019","Soybeans",4879.3448
"November","2019","Oil meal",1056.2566
"November","2019","Vegetable oils",222.6968
"November","2019","Fruits, fresh",252.2516
"November","2019","Fruits, prepared or preserved",46.3219
"November","2019","Fruit juices",43.7408
"November","2019","Vegetables, fresh",207.5012
"November","2019","Vegetables, prepared or preserved",231.3198
"November","2019","Nuts & preparations",248.0621
"November","2019","Cotton & linters",148.2711
"November","2019","Major bulk",12371.5434
"December","2019","Red meats & products",487.9421
"December","2019","Poultry meats",290.3205
"December","2019","Nonfat dry milk",74.3325
"December","2019","Wheat",2147.611
"December","2019","Rice",377.1575
"December","2019","Coarse grains",2953.413
"December","2019","Corn",2508.11
"December","2019","Sorghum",429.017
"December","2019","Soybeans",5570.2881
"December","2019","Oil meal",1027.8498
"December","2019","Vegetable oils",186.7048
"December","2019","Fruits, fresh",210.951
"December","2019","Fruits, prepared or preserved",41.7173
"December","2019","Fruit juices",43.3219
"December","2019","Vegetables, fresh",206.8592
"December","2019","Vegetables, prepared or preserved",224.9965
"December","2019","Nuts & preparations",172.1099
"December","2019","Cotton & linters",288.8758
"December","2019","Major bulk",11345.0768
"January","2020","Red meats & products",464.4444
"January","2020","Poultry meats",293.923
"January","2020","Nonfat dry milk",71.0901
"January","2020","Wheat",1872.033
"January","2020","Rice",212.4637
"January","2020","Coarse grains",2760.0589
"January","2020","Corn",2494.779
"January","2020","Sorghum",252.083
"January","2020","Soybeans",5319.2077
"January","2020","Oil meal",996.8622
"January","2020","Vegetable oils",167.5812
"January","2020","Fruits, fresh",187.3012
"January","2020","Fruits, prepared or preserved",42.3021
"January","2020","Fruit juices",38.7806
"January","2020","Vegetables, fresh",197.0061
"January","2020","Vegetables, prepared or preserved",218.042
"January","2020","Nuts & preparations",144.8254
"January","2020","Cotton & linters",371.338
"January","2020","Major bulk",10543.5392
"February","2020","Red meats & products",466.685
"February","2020","Poultry meats",289.3489
"February","2020","Nonfat dry milk",58.0687
"February","2020","Wheat",2184
"February","2020","Rice",328.8651
"February","2020","Coarse grains",4233.2522
"February","2020","Corn",3916.049
"February","2020","Sorghum",297.902
"February","2020","Soybeans",2758.858
"February","2020","Oil meal",1270.2516
"February","2020","Vegetable oils",295.7796
"February","2020","Fruits, fresh",239.6409
"February","2020","Fruits, prepared or preserved",46.0478
"February","2020","Fruit juices",42.6958
"February","2020","Vegetables, fresh",189.1751
"February","2020","Vegetables, prepared or preserved",222.283
"February","2020","Nuts & preparations",153.7566
"February","2020","Cotton & linters",429.8523
"February","2020","Major bulk",9942.3533
"March","2020","Red meats & products",498.7797
"March","2020","Poultry meats",337.0462
"March","2020","Nonfat dry milk",66.1826
"March","2020","Wheat",1825.786
"March","2020","Rice",285.9904
"March","2020","Coarse grains",5126.8703
"March","2020","Corn",4615.561
"March","2020","Sorghum",497.459
"March","2020","Soybeans",2570.8519
"March","2020","Oil meal",1220.2081
"March","2020","Vegetable oils",245.1876
"March","2020","Fruits, fresh",276.5999
"March","2020","Fruits, prepared or preserved",48.3024
"March","2020","Fruit juices",51.7762
"March","2020","Vegetables, fresh",199.4474
"March","2020","Vegetables, prepared or preserved",264.6134
"March","2020","Nuts & preparations",156.485
"March","2020","Cotton & linters",437.3013
"March","2020","Major bulk",10261.1895
"April","2020","Red meats & products",442.1091
"April","2020","Poultry meats",293.4696
"April","2020","Nonfat dry milk",70.5594
"April","2020","Wheat",2360.326
"April","2020","Rice",314.4631
"April","2020","Coarse grains",5866.257
"April","2020","Corn",5057.441
"April","2020","Sorghum",802.729
"April","2020","Soybeans",2163.1143
"April","2020","Oil meal",1115.2475
"April","2020","Vegetable oils",232.2006
"April","2020","Fruits, fresh",198.2568
"April","2020","Fruits, prepared or preserved",42.6563
"April","2020","Fruit juices",45.5097
"April","2020","Vegetables, fresh",194.3101
"April","2020","Vegetables, prepared or preserved",250.8632
"April","2020","Nuts & preparations",121.7448
"April","2020","Cotton & linters",274.376
"April","2020","Major bulk",10986.0199
"May","2020","Red meats & products",385.681
"May","2020","Poultry meats",290.9646
"May","2020","Nonfat dry milk",84.0308
"May","2020","Wheat",2347.31
"May","2020","Rice",343.0704
"May","2020","Coarse grains",6518.8648
"May","2020","Corn",5700.085
"May","2020","Sorghum",809.404
"May","2020","Soybeans",1965.4041
"May","2020","Oil meal",1003.5583
"May","2020","Vegetable oils",265.8525
"May","2020","Fruits, fresh",206.0129
"May","2020","Fruits, prepared or preserved",43.4358
"May","2020","Fruit juices",44.3939
"May","2020","Vegetables, fresh",218.9421
"May","2020","Vegetables, prepared or preserved",247.6744
"May","2020","Nuts & preparations",115.1249
"May","2020","Cotton & linters",270.6432
"May","2020","Major bulk",11456.1062
"June","2020","Red meats & products",369.5298
"June","2020","Poultry meats",271.1564
"June","2020","Nonfat dry milk",79.1777
"June","2020","Wheat",2282.799
"June","2020","Rice",230.0937
"June","2020","Coarse grains",5623.0726
"June","2020","Corn",5035.249
"June","2020","Sorghum",576.822
"June","2020","Soybeans",1799.1959
"June","2020","Oil meal",1083.6812
"June","2020","Vegetable oils",191.04
"June","2020","Fruits, fresh",216.2185
"June","2020","Fruits, prepared or preserved",42.0377
"June","2020","Fruit juices",44.5316
"June","2020","Vegetables, fresh",211.2719
"June","2020","Vegetables, prepared or preserved",219.509
"June","2020","Nuts & preparations",116.0371
"June","2020","Cotton & linters",320.2835
"June","2020","Major bulk",10261.2672
"July","2020","Red meats & products",428.5265
"July","2020","Poultry meats",292.4812
"July","2020","Nonfat dry milk",78.3736
"July","2020","Wheat",2363.32
"July","2020","Rice",179.3944
"July","2020","Coarse grains",4728.9948
"July","2020","Corn",4343.678
"July","2020","Sorghum",361.56
"July","2020","Soybeans",2216.1911
"July","2020","Oil meal",1048.8108
"July","2020","Vegetable oils",170.0694
"July","2020","Fruits, fresh",238.5533
"July","2020","Fruits, prepared or preserved",45.6062
"July","2020","Fruit juices",41.9469
"July","2020","Vegetables, fresh",208.3768
"July","2020","Vegetables, prepared or preserved",200.7193
"July","2020","Nuts & preparations",118.404
"July","2020","Cotton & linters",355.6501
"July","2020","Major bulk",9853.6248
"August","2020","Red meats & products",426.3612
"August","2020","Poultry meats",304.8929
"August","2020","Nonfat dry milk",70.908
"August","2020","Wheat",2555.038
"August","2020","Rice",128.0156
"August","2020","Coarse grains",5089.4377
"August","2020","Corn",4539.135
"August","2020","Sorghum",525.291
"August","2020","Soybeans",4550.7601
"August","2020","Oil meal",1003.1651
"August","2020","Vegetable oils",249.0439
"August","2020","Fruits, fresh",206.5969
