"Month","Year","Item","Export Volume"
"September","2019","Wine 2/",96.1052
"September","2019","Malt beverages 2/",337.36
"September","2019","Cattle & calves",110.317
"September","2019","Beef & veal",80.597
"September","2019","Dairy products",31.583712
"September","2019","Processed grains, ex. feed",276.2409
"September","2019","Fruits, fresh or frozen",930.9441
"September","2019","Fruits, prepared or preserved",130.9446
"September","2019","Vegetables, fresh or frozen",704.7492
"September","2019","Vegetable oils",440.6633
"September","2019","Sugar & related products",291.9011
"September","2019","Cocoa & products",102.8526
"September","2019","Coffee & products",137.9494
"October","2019","Wine 4/",112.2104
"October","2019","Malt beverages 4/",362.4169
"October","2019","Cattle & calves",165.526
"October","2019","Beef & veal",81.9195
"October","2019","Dairy products",30.971791
"October","2019","Processed grains, ex. feed",376.1844
"October","2019","Fruits, fresh or frozen",960.1043
"October","2019","Fruits, prepared or preserved",134.2463
"October","2019","Vegetables, fresh or frozen",834.9525
"October","2019","Vegetable oils",511.4501
"October","2019","Sugar & related products",406.4691
"October","2019","Cocoa & products",106.7219
"October","2019","Coffee & products",127.7177
"November","2019","Wine 4/",107.147
"November","2019","Malt beverages 4/",330.5977
"November","2019","Cattle & calves",204.458
"November","2019","Beef & veal",81.7479
"November","2019","Dairy products",24.52906
"November","2019","Processed grains, ex. feed",517.9646
"November","2019","Fruits, fresh or frozen",888.4087
"November","2019","Fruits, prepared or preserved",119.5942
"November","2019","Vegetables, fresh or frozen",847.6455
"November","2019","Vegetable oils",478.494
"November","2019","Sugar & related products",401.4253
"November","2019","Cocoa & products",85.9247
"November","2019","Coffee & products",119.261
"December","2019","Wine 4/",104.4784
"December","2019","Malt beverages 4/",263.3991
"December","2019","Cattle & calves",212.625
"December","2019","Beef & veal",77.3297
"December","2019","Dairy products",26.335484
"December","2019","Processed grains, ex. feed",302.4231
"December","2019","Fruits, fresh or frozen",1010.1772
"December","2019","Fruits, prepared or preserved",127.4668
"December","2019","Vegetables, fresh or frozen",902.9361
"December","2019","Vegetable oils",511.6708
"December","2019","Sugar & related products",337.5171
"December","2019","Cocoa & products",111.9827
"December","2019","Coffee & products",135.5056
"January","2020","Wine 4/",111.7551
"January","2020","Malt beverages 4/",332.1431
"January","2020","Cattle & calves",146.927
"January","2020","Beef & veal",83.3532
"January","2020","Dairy products",22.186885
"January","2020","Processed grains, ex. feed",465.212
"January","2020","Fruits, fresh or frozen",1158.1413
"January","2020","Fruits, prepared or preserved",140.7086
"January","2020","Vegetables, fresh or frozen",1039.4382
"January","2020","Vegetable oils",457.8163
"January","2020","Sugar & related products",335.9281
"January","2020","Cocoa & products",122.7155
"January","2020","Coffee & products",137.6024
"February","2020","Wine 4/",99.464
"February","2020","Malt beverages 4/",315.8331
"February","2020","Cattle & calves",169.997
"February","2020","Beef & veal",78.7693
"February","2020","Dairy products",25.881407
"February","2020","Processed grains, ex. feed",270.9192
"February","2020","Fruits, fresh or frozen",1101.0309
"February","2020","Fruits, prepared or preserved",118.4137
"February","2020","Vegetables, fresh or frozen",965.213
"February","2020","Vegetable oils",454.7819
"February","2020","Sugar & related products",343.1015
"February","2020","Cocoa & products",144.3804
"February","2020","Coffee & products",114.1183
"March","2020","Wine 4/",114.3194
"March","2020","Malt beverages 4/",374.8601
"March","2020","Cattle & calves",213.279
"March","2020","Beef & veal",101.4458
"March","2020","Dairy products",21.149647
"March","2020","Processed grains, ex. feed",281.2884
"March","2020","Fruits, fresh or frozen",1304.3309
"March","2020","Fruits, prepared or preserved",129.8671
"March","2020","Vegetables, fresh or frozen",1052.9805
"March","2020","Vegetable oils",567.5642
"March","2020","Sugar & related products",425.3279
"March","2020","Cocoa & products",152.6399
"March","2020","Coffee & products",143.047
"April","2020","Wine 4/",101.0284
"April","2020","Malt beverages 4/",319.3902
"April","2020","Cattle & calves",201.339
"April","2020","Beef & veal",90.7951
"April","2020","Dairy products",21.500443
"April","2020","Processed grains, ex. feed",295.6545
"April","2020","Fruits, fresh or frozen",1141.8474
"April","2020","Fruits, prepared or preserved",137.5291
"April","2020","Vegetables, fresh or frozen",834.5507
"April","2020","Vegetable oils",479.2637
"April","2020","Sugar & related products",583.312
"April","2020","Cocoa & products",128.6805
"April","2020","Coffee & products",145.0269
"May","2020","Wine 4/",107.3476
"May","2020","Malt beverages 4/",240.0828
"May","2020","Cattle & calves",190.279
"May","2020","Beef & veal",91.4952
"May","2020","Dairy products",25.843287
"May","2020","Processed grains, ex. feed",342.7967
"May","2020","Fruits, fresh or frozen",1195.0415
"May","2020","Fruits, prepared or preserved",139.6678
"May","2020","Vegetables, fresh or frozen",856.9938
"May","2020","Vegetable oils",459.1087
"May","2020","Sugar & related products",455.3327
"May","2020","Cocoa & products",105.6754
"May","2020","Coffee & products",152.7895
"June","2020","Wine 4/",100.1375
"June","2020","Malt beverages 4/",332.9304
"June","2020","Cattle & calves",193.17
"June","2020","Beef & veal",105.2262
"June","2020","Dairy products",26.567128
"June","2020","Processed grains, ex. feed",267.9205
"June","2020","Fruits, fresh or frozen",1246.9715
"June","2020","Fruits, prepared or preserved",126.6138
"June","2020","Vegetables, fresh or frozen",771.9495
"June","2020","Vegetable oils",510.5509
"June","2020","Sugar & related products",429.5816
"June","2020","Cocoa & products",111.9487
"June","2020","Coffee & products",160.4876
"July","2020","Wine 4/",103.611
"July","2020","Malt beverages 4/",411.3371
"July","2020","Cattle & calves",158.2
"July","2020","Beef & veal",126.9917
"July","2020","Dairy products",26.266968
"July","2020","Processed grains, ex. feed",328.6971
"July","2020","Fruits, fresh or frozen",996.2507
"July","2020","Fruits, prepared or preserved",132.6631
"July","2020","Vegetables, fresh or frozen",749.0345
"July","2020","Vegetable oils",485.8254
"July","2020","Sugar & related products",435.7602
"July","2020","Cocoa & products",106.2053
"July","2020","Coffee & products",130.3541
"August","2020","Wine 4/",118.6571
"August","2020","Malt beverages 4/",415.6321
"August","2020","Cattle & calves",128.333
"August","2020","Beef & veal",118.1902
"August","2020","Dairy products",25.042692
"August","2020","Processed grains, ex. feed",247.4884
"August","2020","Fruits, fresh or frozen",1019.7163
