"Month","Year","Item","Export Value"
"September","2019","Live animals",179.904
"September","2019","Red meats & products",700.353
"September","2019","Beef & veal",478.669
"September","2019","Pork",116.512
"September","2019","Dairy products",276.615
"September","2019","Cheese",144.776
"September","2019","Grains & feeds",1220.894
"September","2019","Grain products",894.977
"September","2019","Oilseeds & products",640.542
"September","2019","Vegetable oils",483.62
"September","2019","Fruits & preparations",1230.574
"September","2019","Fruits, fresh or frozen",962.21
"September","2019","Fruits, prepared or preserved",268.364
"September","2019","Fruit juices",170.431
"September","2019","Vegetables & preparations",1090.407
"September","2019","Vegetables, fresh or frozen",792.108
"September","2019","Vegetables, prepared or preserved",277.857
"September","2019","Tree nuts & preparations",263.592
"September","2019","Cotton & linters",0.01
"September","2019","Wine",502.055
"September","2019","Malt beverages",448.921
"September","2019","Essential oils",243.727
"September","2019","Cut flowers & nursery stock",156.928
"September","2019","Sugar & related products",348.816
"September","2019","Confections",161.845
"September","2019","Cocoa & products",414.111
"September","2019","Coffee & products",481.622
"September","2019","Rubber, natural",127.167
"October","2019","Live animals",262.701
"October","2019","Red meats & products",750.579
"October","2019","Beef & veal",492.851
"October","2019","Pork",132.788
"October","2019","Dairy products",285.902
"October","2019","Cheese",139.602
"October","2019","Grains & feeds",1358.511
"October","2019","Grain products",980.948
"October","2019","Oilseeds & products",727.261
"October","2019","Vegetable oils",552.001
"October","2019","Fruits & preparations",1320.292
"October","2019","Fruits, fresh or frozen",1052.61
"October","2019","Fruits, prepared or preserved",267.682
"October","2019","Fruit juices",153.947
"October","2019","Vegetables & preparations",1266.137
"October","2019","Vegetables, fresh or frozen",930.893
"October","2019","Vegetables, prepared or preserved",313.605
"October","2019","Tree nuts & preparations",278.377
"October","2019","Cotton & linters",0.432
"October","2019","Wine",624.303
"October","2019","Malt beverages",485.461
"October","2019","Essential oils",243.706
"October","2019","Cut flowers & nursery stock",170.956
"October","2019","Sugar & related products",438.32
"October","2019","Confections",176.955
"October","2019","Cocoa & products",446.183
"October","2019","Coffee & products",471.826
"October","2019","Rubber, natural",113.768
"November","2019","Live animals",281.26
"November","2019","Red meats & products",751.828
"November","2019","Beef & veal",503.465
"November","2019","Pork",119.438
