"Month","Year","Export Country","Export Values","Commodity"
"October","2019","China",1761648,"Soybeans"
"October","2019","European Union-28 1/",920794,"Soybeans"
"October","2019","Mexico",651999.8,"Soybeans"
"October","2019","Egypt",593012,"Soybeans"
"October","2019","Japan",280046,"Soybeans"
"October","2019","Indonesia",103442,"Soybeans"
"October","2019","Taiwan",298678.8,"Soybeans"
"October","2019","Thailand",350016,"Soybeans"
"October","2019","Korea, South",63688,"Soybeans"
"October","2019","Bangladesh",117900,"Soybeans"
"October","2019","World Total",5944598.1,"Soybeans"
"November","2019","China",4239145,"Soybeans"
"November","2019","European Union-28",483726.7,"Soybeans"
"November","2019","Mexico",425947.9,"Soybeans"
"November","2019","Egypt",252763,"Soybeans"
"November","2019","Indonesia",158597,"Soybeans"
"November","2019","Japan",124540.6,"Soybeans"
"November","2019","Taiwan",180643.8,"Soybeans"
"November","2019","Thailand",212552,"Soybeans"
"November","2019","Pakistan",331636,"Soybeans"
"November","2019","South Korea",54872,"Soybeans"
"November","2019","World total",7005291.1,"Soybeans"
"December","2019","China",2625802,"Soybeans"
"December","2019","European Union-28",602598,"Soybeans"
"December","2019","Mexico",313370.6,"Soybeans"
"December","2019","Egypt",128501,"Soybeans"
"December","2019","Japan",243571.1,"Soybeans"
"December","2019","Indonesia",193976.1,"Soybeans"
"December","2019","Taiwan",189467.6,"Soybeans"
"December","2019","Thailand",160193,"Soybeans"
"December","2019","Bangladesh",340241,"Soybeans"
"December","2019","Pakistan",133431,"Soybeans"
"December","2019","World total",5570288.1,"Soybeans"
"January","2020","China",2141050,"Soybeans"
"January","2020","EU27+UK",860882,"Soybeans"
"January","2020","Mexico",456397.1,"Soybeans"
"January","2020","Egypt",239071,"Soybeans"
"January","2020","Taiwan",302650.9,"Soybeans"
"January","2020","Pakistan",206652,"Soybeans"
"January","2020","Japan",231172.4,"Soybeans"
"January","2020","Thailand",80191,"Soybeans"
"January","2020","Vietnam",118909.3,"Soybeans"
"January","2020","Bangladesh",112587,"Soybeans"
"January","2020","World total",5319207.7,"Soybeans"
"February","2020","China",471761,"Soybeans"
"February","2020","EU27+UK",227638,"Soybeans"
"February","2020","Mexico",434438.5,"Soybeans"
"February","2020","Egypt",330471,"Soybeans"
"February","2020","Japan",281512.9,"Soybeans"
"February","2020","Taiwan",105516.1,"Soybeans"
"February","2020","Pakistan",0,"Soybeans"
"February","2020","Thailand",97749.1,"Soybeans"
"February","2020","Bangladesh",110725,"Soybeans"
"February","2020","Indonesia",169927,"Soybeans"
"February","2020","World total",2758858,"Soybeans"
"March","2020","China",208505,"Soybeans"
"March","2020","EU27+UK 2/",129541.3,"Soybeans"
"March","2020","Mexico",322062.6,"Soybeans"
"March","2020","Egypt",463210,"Soybeans"
"March","2020","Japan",298203.7,"Soybeans"
"March","2020","Taiwan",128690.2,"Soybeans"
"March","2020","Indonesia",289744,"Soybeans"
"March","2020","Thailand",107929.9,"Soybeans"
"March","2020","Bangladesh",248806,"Soybeans"
"March","2020","Pakistan",0,"Soybeans"
"March","2020","World total",2570851.9,"Soybeans"
"April","2020","China",423891,"Soybeans"
"April","2020","EU27+UK",64334.7,"Soybeans"
"April","2020","Mexico",364658,"Soybeans"
"April","2020","Egypt",418158,"Soybeans"
"April","2020","Japan",218859.4,"Soybeans"
"April","2020","Taiwan",37451.6,"Soybeans"
"April","2020","Indonesia",193931,"Soybeans"
"April","2020","Thailand",60665,"Soybeans"
"April","2020","Bangladesh",55751,"Soybeans"
"April","2020","Pakistan",0,"Soybeans"
"April","2020","World total",2163114.3,"Soybeans"
"May","2020","China",164218,"Soybeans"
"May","2020","EU27+UK",117214.3,"Soybeans"
"May","2020","Mexico",381937,"Soybeans"
"May","2020","Egypt",432308,"Soybeans"
"May","2020","Japan",243877.1,"Soybeans"
"May","2020","Indonesia",214502.7,"Soybeans"
"May","2020","Taiwan",64054.4,"Soybeans"
"May","2020","Thailand",48371.4,"Soybeans"
"May","2020","Bangladesh",1085,"Soybeans"
"May","2020","Pakistan",0,"Soybeans"
"May","2020","World total",1965404.1,"Soybeans"
"June","2020","China",353688.7,"Soybeans"
"June","2020","Mexico",335134.5,"Soybeans"
"June","2020","EU27+UK",120.7,"Soybeans"
