"Item","Month","Export_Value"
"Live animals","january",67.929
"Live animals","february",64.58
"Live animals","march",80.997
"Live animals","april",69.285
"Live animals","may",60.974
"Live animals","june",53
"Live animals","july",47.495
"Live animals","august",80.211
"Live animals","september",63.097
"Live animals","october",129.601
"Live animals","november",92.813
"Live animals","december",115.548
"Red meats & products","january",1190.109
"Red meats & products","february",1080.619
"Red meats & products","march",1252.093
"Red meats & products","april",1267.939
"Red meats & products","may",1360.948
"Red meats & products","june",1354
"Red meats & products","july",1408.424
"Red meats & products","august",1344.887
"Red meats & products","september",1249.593
"Red meats & products","october",1300.333
"Red meats & products","november",1295.241
"Red meats & products","december",1499.181
"Poultry meats & products","january",355.719
"Poultry meats & products","february",346.492
"Poultry meats & products","march",399.197
"Poultry meats & products","april",383.204
"Poultry meats & products","may",441.447
"Poultry meats & products","june",412
"Poultry meats & products","july",441.678
"Poultry meats & products","august",451.83
"Poultry meats & products","september",418.176
"Poultry meats & products","october",444.956
"Poultry meats & products","november",408.898
"Poultry meats & products","december",383.329
"Dairy products","january",428.876
"Dairy products","february",468.646
"Dairy products","march",537.591
"Dairy products","april",497.327
"Dairy products","may",545.704
"Dairy products","june",474
"Dairy products","july",473.92
"Dairy products","august",493.599
"Dairy products","september",507.817
"Dairy products","october",526.992
"Dairy products","november",441.299
"Dairy products","december",521.86
"Hides & skins","january",100.415
"Hides & skins","february",113.732
"Hides & skins","march",105.056
"Hides & skins","april",105.021
"Hides & skins","may",102.538
"Hides & skins","june",73
"Hides & skins","july",69.083
"Hides & skins","august",76.94
"Hides & skins","september",70.565
"Hides & skins","october",78.177
"Hides & skins","november",106.656
"Hides & skins","december",80.684
"Grains & feeds","january",2460.476
"Grains & feeds","february",2319.281
"Grains & feeds","march",2633.506
"Grains & feeds","april",2930.903
"Grains & feeds","may",2814.696
"Grains & feeds","june",2341
"Grains & feeds","july",2185.806
"Grains & feeds","august",2481.924
"Grains & feeds","september",2110.177
"Grains & feeds","october",2208.219
"Grains & feeds","november",2622.214
"Grains & feeds","december",2241.015
"Wheat","january",489.122
"Wheat","february",552.749
"Wheat","march",463.21
"Wheat","april",671.146
"Wheat","may",623.441
"Wheat","june",491
"Wheat","july",436.935
"Wheat","august",579.419
"Wheat","september",515.178
"Wheat","october",474.235
"Wheat","november",387.831
"Wheat","december",504.406
"Rice","january",135.171
"Rice","february",127.732
"Rice","march",160.175
"Rice","april",170.968
"Rice","may",188.273
"Rice","june",160
"Rice","july",152.46
"Rice","august",164.194
"Rice","september",123.853
"Rice","october",150.009
"Rice","november",193.658
"Rice","december",202.407
"Corn","january",845.651
"Corn","february",658.79
"Corn","march",868.848
"Corn","april",994.317
"Corn","may",849.217
"Corn","june",581
"Corn","july",564.141
"Corn","august",536.369
"Corn","september",380.023
"Corn","october",422.799
"Corn","november",908.207
"Corn","december",460.776
"Other grain products","january",375.252
"Other grain products","february",370.785
"Other grain products","march",419.143
"Other grain products","april",399.995
"Other grain products","may",412.774
"Other grain products","june",395
"Other grain products","july",391.491
"Other grain products","august",412.979
"Other grain products","september",376.806
"Other grain products","october",433.012
"Other grain products","november",405.816
"Other grain products","december",390.294
"Animal feeds & oil meal","january",1102.933
"Animal feeds & oil meal","february",913.625
"Animal feeds & oil meal","march",1089.28
"Animal feeds & oil meal","april",1116.847
"Animal feeds & oil meal","may",1049.335
"Animal feeds & oil meal","june",952
"Animal feeds & oil meal","july",907.942
"Animal feeds & oil meal","august",1062.347
"Animal feeds & oil meal","september",984.546
"Animal feeds & oil meal","october",1063.295
"Animal feeds & oil meal","november",1074.083
"Animal feeds & oil meal","december",961.628
"Soybeans","january",1697.722
"Soybeans","february",1616.458
"Soybeans","march",1340.748
"Soybeans","april",869.547
"Soybeans","may",898.99
"Soybeans","june",1125
"Soybeans","july",1312.344
"Soybeans","august",1751.44
"Soybeans","september",1367.78
"Soybeans","october",2135.256
"Soybeans","november",1680.961
"Soybeans","december",2017.288
"Other oilseeds","january",123.047
"Other oilseeds","february",111.012
"Other oilseeds","march",130.051
"Other oilseeds","april",126.148
"Other oilseeds","may",115.419
"Other oilseeds","june",127
"Other oilseeds","july",128.929
"Other oilseeds","august",137.344
"Other oilseeds","september",125.509
"Other oilseeds","october",137.737
"Other oilseeds","november",126.797
"Other oilseeds","december",143.274
"Vegetable oils","january",241.047
"Vegetable oils","february",188.168
"Vegetable oils","march",290.029
"Vegetable oils","april",209.012
"Vegetable oils","may",246.796
"Vegetable oils","june",198
"Vegetable oils","july",224.533
"Vegetable oils","august",218.621
"Vegetable oils","september",173.855
"Vegetable oils","october",265.088
"Vegetable oils","november",246.528
"Vegetable oils","december",225.172
"Fruits & products","january",366.73
"Fruits & products","february",385.653
"Fruits & products","march",485.589
"Fruits & products","april",423.065
"Fruits & products","may",466.863
"Fruits & products","june",584
"Fruits & products","july",673.56
"Fruits & products","august",552.637
"Fruits & products","september",509.935
"Fruits & products","october",541.455
"Fruits & products","november",550.585
"Fruits & products","december",419.709
"Fruits, fresh","january",244.523
"Fruits, fresh","february",254.967
"Fruits, fresh","march",336.942
"Fruits, fresh","april",292.819
"Fruits, fresh","may",334.448
"Fruits, fresh","june",452
"Fruits, fresh","july",545.367
"Fruits, fresh","august",412.92
"Fruits, fresh","september",373.948
"Fruits, fresh","october",392.471
"Fruits, fresh","november",412.081
"Fruits, fresh","december",303.472
"Fruits, prepared or preserved","january",122.207
"Fruits, prepared or preserved","february",130.685
"Fruits, prepared or preserved","march",148.646
"Fruits, prepared or preserved","april",130.246
"Fruits, prepared or preserved","may",132.416
"Fruits, prepared or preserved","june",132
"Fruits, prepared or preserved","july",128.193
"Fruits, prepared or preserved","august",139.717
"Fruits, prepared or preserved","september",135.987
"Fruits, prepared or preserved","october",148.985
"Fruits, prepared or preserved","november",138.503
"Fruits, prepared or preserved","december",116.237
"Fruit juices","january",70.726
"Fruit juices","february",65.115
"Fruit juices","march",81.669
"Fruit juices","april",72.713
"Fruit juices","may",70.852
"Fruit juices","june",66
"Fruit juices","july",63.041
"Fruit juices","august",64.18
"Fruit juices","september",63.049
"Fruit juices","october",68.462
"Fruit juices","november",69.522
"Fruit juices","december",63.653
"Vegetables & products","january",584.939
"Vegetables & products","february",552.946
"Vegetables & products","march",663.019
"Vegetables & products","april",616.573
"Vegetables & products","may",650.577
"Vegetables & products","june",632
"Vegetables & products","july",596.584
"Vegetables & products","august",569.621
"Vegetables & products","september",518.993
"Vegetables & products","october",602.014
"Vegetables & products","november",594.851
"Vegetables & products","december",584.792
"Vegetables, fresh","january",229.101
"Vegetables, fresh","february",212.324
"Vegetables, fresh","march",245.974
"Vegetables, fresh","april",245.544
"Vegetables, fresh","may",265.323
"Vegetables, fresh","june",257
"Vegetables, fresh","july",226.437
"Vegetables, fresh","august",183.898
"Vegetables, fresh","september",168.243
"Vegetables, fresh","october",200.882
"Vegetables, fresh","november",223.983
"Vegetables, fresh","december",223.009
"Vegetables, prepared or preserved","january",355.839
"Vegetables, prepared or preserved","february",340.622
"Vegetables, prepared or preserved","march",417.045
"Vegetables, prepared or preserved","april",371.028
"Vegetables, prepared or preserved","may",385.254
"Vegetables, prepared or preserved","june",374
"Vegetables, prepared or preserved","july",370.146
"Vegetables, prepared or preserved","august",385.724
"Vegetables, prepared or preserved","september",350.75
"Vegetables, prepared or preserved","october",401.133
"Vegetables, prepared or preserved","november",370.869
"Vegetables, prepared or preserved","december",361.782
"Tree nuts & preparations","january",794.228
"Tree nuts & preparations","february",824.047
"Tree nuts & preparations","march",863.634
"Tree nuts & preparations","april",723.726
"Tree nuts & preparations","may",688.817
"Tree nuts & preparations","june",663
"Tree nuts & preparations","july",627.74
"Tree nuts & preparations","august",574.737
"Tree nuts & preparations","september",663.812
"Tree nuts & preparations","october",1123.732
"Tree nuts & preparations","november",1247.794
"Tree nuts & preparations","december",902.084
"Wine","january",95.463
"Wine","february",98.515
"Wine","march",95.67
"Wine","april",113.163
"Wine","may",114.156
"Wine","june",120
"Wine","july",108.458
"Wine","august",112.245
"Wine","september",104.591
"Wine","october",127.236
"Wine","november",113.187
"Wine","december",112.191
"Cotton & linters","january",502.11
"Cotton & linters","february",589.61
"Cotton & linters","march",809.335
"Cotton & linters","april",659.623
"Cotton & linters","may",696.042
"Cotton & linters","june",625
"Cotton & linters","july",519.453
"Cotton & linters","august",368.681
"Cotton & linters","september",371.957
"Cotton & linters","october",251.947
"Cotton & linters","november",281.27
"Cotton & linters","december",464.236
"Tobacco, unmanufactured","january",113.008
"Tobacco, unmanufactured","february",81.206
"Tobacco, unmanufactured","march",63.427
"Tobacco, unmanufactured","april",28.328
"Tobacco, unmanufactured","may",74.794
"Tobacco, unmanufactured","june",71
"Tobacco, unmanufactured","july",84.124
"Tobacco, unmanufactured","august",28.584
"Tobacco, unmanufactured","september",41.881
"Tobacco, unmanufactured","october",29.23
"Tobacco, unmanufactured","november",37.029
"Tobacco, unmanufactured","december",67.765
"Sugar & tropical products","january",371.807
"Sugar & tropical products","february",354.522
"Sugar & tropical products","march",417.613
"Sugar & tropical products","april",403.958
"Sugar & tropical products","may",407.504
"Sugar & tropical products","june",414
"Sugar & tropical products","july",401.185
"Sugar & tropical products","august",428.168
"Sugar & tropical products","september",408.973
"Sugar & tropical products","october",451.646
"Sugar & tropical products","november",435.158
"Sugar & tropical products","december",371.669
