"Item","Month","Export_Volume"
"Red meats & products","january",384.9647
"Red meats & products","february",343.5179
"Red meats & products","march",387.7747
"Red meats & products","april",397.4429
"Red meats & products","may",428.7468
"Red meats & products","june",406.5619
"Red meats & products","july",431.0225
"Red meats & products","august",431.0806
"Red meats & products","september",394.6562
"Red meats & products","october",424.7785
"Red meats & products","november",388.7765
"Red meats & products","december",487.9421
"Poultry meats","january",288.8425
"Poultry meats","february",275.7914
"Poultry meats","march",300.4096
"Poultry meats","april",276.4592
"Poultry meats","may",314.0234
"Poultry meats","june",282.3427
"Poultry meats","july",302.5219
"Poultry meats","august",304.1238
"Poultry meats","september",290.8914
"Poultry meats","october",328.4088
"Poultry meats","november",317.0365
"Poultry meats","december",290.3205
"Nonfat dry milk","january",51.4879
"Nonfat dry milk","february",58.003
"Nonfat dry milk","march",61.4496
"Nonfat dry milk","april",58.9129
"Nonfat dry milk","may",66.0466
"Nonfat dry milk","june",46.0239
"Nonfat dry milk","july",52.4328
"Nonfat dry milk","august",56.9909
"Nonfat dry milk","september",68.6073
"Nonfat dry milk","october",72.0202
"Nonfat dry milk","november",51.4272
"Nonfat dry milk","december",74.3325
"Wheat","january",2002.693
"Wheat","february",2262.082
"Wheat","march",1958.853
"Wheat","april",2829.745
"Wheat","may",2758.724
"Wheat","june",2155.962
"Wheat","july",1940.48
"Wheat","august",2570.81
"Wheat","september",2291.406
"Wheat","october",2142.902
"Wheat","november",1632.009
"Wheat","december",2147.611
"Rice","january",245.8138
"Rice","february",227.9386
"Rice","march",296.0612
"Rice","april",320.3804
"Rice","may",382.8888
"Rice","june",328.0364
"Rice","july",292.2392
"Rice","august",344.2475
"Rice","september",232.5163
"Rice","october",302.0227
"Rice","november",392.2427
"Rice","december",377.1575
"Coarse grains","january",4794.793
"Coarse grains","february",3932.37
"Coarse grains","march",4937.245
"Coarse grains","april",5607.405
"Coarse grains","may",4969.868
"Coarse grains","june",3394.9712
"Coarse grains","july",3051.9621
"Coarse grains","august",3147.7019
"Coarse grains","september",2246.7211
"Coarse grains","october",2453.5286
"Coarse grains","november",5314.651
"Coarse grains","december",2953.413
"Corn","january",4665.8
"Corn","february",3616.834
"Corn","march",4770.645
"Corn","april",5472.162
"Corn","may",4689.794
"Corn","june",3068.884
"Corn","july",2882.181
"Corn","august",2825.045
"Corn","september",2028.214
"Corn","october",2303.944
"Corn","november",5076.177
