"Import_Country","Commodity","Month","Import_Value"
"Mexico","Fruits, fresh or frozensoybean","january",657.844
"Mexico","Fruits, fresh or frozensoybean","february",661.475
"Mexico","Fruits, fresh or frozensoybean","march",661.475
"Mexico","Fruits, fresh or frozensoybean","april",882.17
"Mexico","Fruits, fresh or frozensoybean","may",867.241
"Mexico","Fruits, fresh or frozensoybean","june",789.806
"Mexico","Fruits, fresh or frozensoybean","july",392.804
"Mexico","Fruits, fresh or frozensoybean","august",356.606
"Mexico","Fruits, fresh or frozensoybean","september",385.404
"Mexico","Fruits, fresh or frozensoybean","october",478.815
"Mexico","Fruits, fresh or frozensoybean","november",527.524
"Mexico","Fruits, fresh or frozensoybean","december",595.495
"Chile","Fruits, fresh or frozensoybean","january",243.566
"Chile","Fruits, fresh or frozensoybean","february",277.678
"Chile","Fruits, fresh or frozensoybean","march",277.678
"Chile","Fruits, fresh or frozensoybean","april",227.549
"Chile","Fruits, fresh or frozensoybean","may",92.373
"Chile","Fruits, fresh or frozensoybean","june",86.101
"Chile","Fruits, fresh or frozensoybean","july",141.245
"Chile","Fruits, fresh or frozensoybean","august",105.149
"Chile","Fruits, fresh or frozensoybean","september",132.434
"Chile","Fruits, fresh or frozensoybean","october",68.533
"Chile","Fruits, fresh or frozensoybean","november",24.332
"Chile","Fruits, fresh or frozensoybean","december",106.728
"Guatemala","Fruits, fresh or frozensoybean","january",222.428
"Guatemala","Fruits, fresh or frozensoybean","february",147.912
"Guatemala","Fruits, fresh or frozensoybean","march",147.912
"Guatemala","Fruits, fresh or frozensoybean","april",18.346
"Guatemala","Fruits, fresh or frozensoybean","may",86.685
"Guatemala","Fruits, fresh or frozensoybean","june",79.614
"Guatemala","Fruits, fresh or frozensoybean","july",125.358
"Guatemala","Fruits, fresh or frozensoybean","august",90.833
"Guatemala","Fruits, fresh or frozensoybean","september",102.307
"Guatemala","Fruits, fresh or frozensoybean","october",130.415
"Guatemala","Fruits, fresh or frozensoybean","november",137.694
"Guatemala","Fruits, fresh or frozensoybean","december",195.159
"Costa Rica","Fruits, fresh or frozensoybean","january",98.103
"Costa Rica","Fruits, fresh or frozensoybean","february",99.386
"Costa Rica","Fruits, fresh or frozensoybean","march",99.386
"Costa Rica","Fruits, fresh or frozensoybean","april",118.603
"Costa Rica","Fruits, fresh or frozensoybean","may",39.644
"Costa Rica","Fruits, fresh or frozensoybean","june",76.417
"Costa Rica","Fruits, fresh or frozensoybean","july",96.27
"Costa Rica","Fruits, fresh or frozensoybean","august",90.144
"Costa Rica","Fruits, fresh or frozensoybean","september",99.617
"Costa Rica","Fruits, fresh or frozensoybean","october",95.22
"Costa Rica","Fruits, fresh or frozensoybean","november",95.883
"Costa Rica","Fruits, fresh or frozensoybean","december",116.965
"Peru","Fruits, fresh or frozensoybean","january",80.435
"Peru","Fruits, fresh or frozensoybean","february",70.501
"Peru","Fruits, fresh or frozensoybean","march",70.501
"Peru","Fruits, fresh or frozensoybean","april",96.347
"Peru","Fruits, fresh or frozensoybean","may",99.365
"Peru","Fruits, fresh or frozensoybean","june",84.384
"Peru","Fruits, fresh or frozensoybean","july",78.296
"Peru","Fruits, fresh or frozensoybean","august",74.234
"Peru","Fruits, fresh or frozensoybean","september",81.426
"Peru","Fruits, fresh or frozensoybean","october",73.822
"Peru","Fruits, fresh or frozensoybean","november",81.334
"Peru","Fruits, fresh or frozensoybean","december",79.762
"Canada","Fruits, fresh or frozensoybean","january",42.222
"Canada","Fruits, fresh or frozensoybean","february",36.943
"Canada","Fruits, fresh or frozensoybean","march",36.943
"Canada","Fruits, fresh or frozensoybean","april",53.524
"Canada","Fruits, fresh or frozensoybean","may",42.527
"Canada","Fruits, fresh or frozensoybean","june",22.317
"Canada","Fruits, fresh or frozensoybean","july",39.805
"Canada","Fruits, fresh or frozensoybean","august",29.942
"Canada","Fruits, fresh or frozensoybean","september",25.427
"Canada","Fruits, fresh or frozensoybean","october",44.783
"Canada","Fruits, fresh or frozensoybean","november",25.17
"Canada","Fruits, fresh or frozensoybean","december",57.522
"Ecuador","Fruits, fresh or frozensoybean","january",52.279
"Ecuador","Fruits, fresh or frozensoybean","february",46.149
"Ecuador","Fruits, fresh or frozensoybean","march",46.149
"Ecuador","Fruits, fresh or frozensoybean","april",32.42
"Ecuador","Fruits, fresh or frozensoybean","may",32.388
"Ecuador","Fruits, fresh or frozensoybean","june",31.209
"Ecuador","Fruits, fresh or frozensoybean","july",17.788
"Ecuador","Fruits, fresh or frozensoybean","august",80.314
"Ecuador","Fruits, fresh or frozensoybean","september",33.846
"Ecuador","Fruits, fresh or frozensoybean","october",31.063
"Ecuador","Fruits, fresh or frozensoybean","november",41.706
"Ecuador","Fruits, fresh or frozensoybean","december",17.428
"Honduras","Fruits, fresh or frozensoybean","january",19.874
"Honduras","Fruits, fresh or frozensoybean","february",18.874
"Honduras","Fruits, fresh or frozensoybean","march",18.874
"Honduras","Fruits, fresh or frozensoybean","april",20.926
"Honduras","Fruits, fresh or frozensoybean","may",21.503
"Honduras","Fruits, fresh or frozensoybean","june",19.028
"Honduras","Fruits, fresh or frozensoybean","july",79.357
"Honduras","Fruits, fresh or frozensoybean","august",15.705
"Honduras","Fruits, fresh or frozensoybean","september",16.822
"Honduras","Fruits, fresh or frozensoybean","october",19.317
"Honduras","Fruits, fresh or frozensoybean","november",19.739
"Honduras","Fruits, fresh or frozensoybean","december",22.849
"Colombia","Fruits, fresh or frozensoybean","january",16.302
"Colombia","Fruits, fresh or frozensoybean","february",13.901
"Colombia","Fruits, fresh or frozensoybean","march",13.901
