month,year,Confirmed_of_Month,Deaths_of_Month,Recovered_of_Month,Active_of_Month
1,2021,733073912,12419500,289735998,426142895
2,2021,776095587,13604746,315752651,443429068
3,2021,918773231,16613577,64955171,104770363
4,2020,15470806,839162,2758175,13196283
4,2021,946792340,16932388,0,0
5,2020,45255507,2703429,8720047,33799468
5,2021,1022505669,18143358,0,0
6,2020,65019394,3492939,17434297,43969970
6,2021,1007002612,17997023,0,0
7,2020,111628340,4300055,34028380,72852387
7,2021,1060556197,18857217,0,0
8,2020,166816427,5253535,56877502,104211606
8,2021,1150130183,19359928,0,0
9,2020,199630465,5875774,75486815,117734699
9,2021,1249350656,20086503,0,0
10,2020,252203706,6781716,99506279,144641623
10,2021,1392004618,22487828,0,0
11,2020,340354935,7495698,128481290,200579073
11,2021,1273673712,20629433,0,0
12,2020,529509030,9668341,203565923,310841616
