product_type,year,month,import_value
Live animals,2018,January,205.593
Live animals,2018,February,195.862
Live animals,2018,March,241.44
Live animals,2018,April,228.585
Live animals,2018,May,205.668
Live animals,2018,June,187.033
Live animals,2018,July,176.778
Live animals,2018,August,165.661
Live animals,2018,September,193.721
Live animals,2018,October,247.204
Live animals,2018,November,265.895
Live animals,2018,December,259.1
Red meats & products,2018,January,732.671
Red meats & products,2018,February,658.215
Red meats & products,2018,March,763.397
Red meats & products,2018,April,708.737
Red meats & products,2018,May,800.19
Red meats & products,2018,June,795.642
Red meats & products,2018,July,822.463
Red meats & products,2018,August,749.729
Red meats & products,2018,September,663.5
Red meats & products,2018,October,685.261
Red meats & products,2018,November,678.341
Red meats & products,2018,December,654.482
Beef & veal,2018,January,465.098
Beef & veal,2018,February,407.248
Beef & veal,2018,March,482.37
Beef & veal,2018,April,446.08
Beef & veal,2018,May,531.554
Beef & veal,2018,June,543.089
Beef & veal,2018,July,538.168
Beef & veal,2018,August,501.216
Beef & veal,2018,September,439.795
Beef & veal,2018,October,443.945
Beef & veal,2018,November,420.021
Beef & veal,2018,December,399.414
Pork,2018,January,139.461
Pork,2018,February,141.465
Pork,2018,March,142.414
Pork,2018,April,143.871
Pork,2018,May,136.649
Pork,2018,June,126.65
Pork,2018,July,136.674
Pork,2018,August,126.474
Pork,2018,September,120.458
Pork,2018,October,134.768
Pork,2018,November,129.139
Pork,2018,December,123.488
Dairy products,2018,January,239.668
Dairy products,2018,February,228.987
Dairy products,2018,March,244.754
Dairy products,2018,April,239.06
Dairy products,2018,May,263.681
Dairy products,2018,June,234.313
Dairy products,2018,July,262.859
Dairy products,2018,August,227.239
Dairy products,2018,September,220.274
Dairy products,2018,October,276.412
Dairy products,2018,November,251.257
Dairy products,2018,December,257.223
Cheese,2018,January,97.8
Cheese,2018,February,90.162
Cheese,2018,March,94.741
Cheese,2018,April,103.607
Cheese,2018,May,108.182
Cheese,2018,June,95.358
Cheese,2018,July,105.667
Cheese,2018,August,104.227
Cheese,2018,September,105.522
Cheese,2018,October,140.254
Cheese,2018,November,120.395
Cheese,2018,December,113.109
Grains & feeds,2018,January,1058.346
Grains & feeds,2018,February,970.516
Grains & feeds,2018,March,1086.297
Grains & feeds,2018,April,1115.365
Grains & feeds,2018,May,1131.217
Grains & feeds,2018,June,1105.849
Grains & feeds,2018,July,1153.247
Grains & feeds,2018,August,1202.561
Grains & feeds,2018,September,1162.545
Grains & feeds,2018,October,1323.821
Grains & feeds,2018,November,1183.915
Grains & feeds,2018,December,1167.509
Grain products,2018,January,698.04
Grain products,2018,February,654.373
Grain products,2018,March,723.153
Grain products,2018,April,726.401
Grain products,2018,May,756.339
Grain products,2018,June,739.299
Grain products,2018,July,758.415
Grain products,2018,August,820.648
Grain products,2018,September,825.149
Grain products,2018,October,964.37
Grain products,2018,November,861.82
Grain products,2018,December,783.83
Oilseeds & products,2018,January,912.432
Oilseeds & products,2018,February,780.715
Oilseeds & products,2018,March,870.091
Oilseeds & products,2018,April,852.857
Oilseeds & products,2018,May,812.391
Oilseeds & products,2018,June,726.182
Oilseeds & products,2018,July,779.079
Oilseeds & products,2018,August,728.707
Oilseeds & products,2018,September,628.522
Oilseeds & products,2018,October,724.824
Oilseeds & products,2018,November,680.074
Oilseeds & products,2018,December,745.688
Vegetable oils,2018,January,718.945
Vegetable oils,2018,February,631.443
Vegetable oils,2018,March,657.463
Vegetable oils,2018,April,640.07
Vegetable oils,2018,May,623.019
Vegetable oils,2018,June,530.468
Vegetable oils,2018,July,584.547
Vegetable oils,2018,August,574.867
Vegetable oils,2018,September,490.224
Vegetable oils,2018,October,576.538
Vegetable oils,2018,November,500.848
Vegetable oils,2018,December,560.981
Fruits & preparations,2018,January,1787.326
Fruits & preparations,2018,February,1659.074
Fruits & preparations,2018,March,1763.643
Fruits & preparations,2018,April,1624.787
Fruits & preparations,2018,May,1542.592
Fruits & preparations,2018,June,1354.542
Fruits & preparations,2018,July,1220.81
Fruits & preparations,2018,August,1289.171
Fruits & preparations,2018,September,1062.286
Fruits & preparations,2018,October,1324.217
Fruits & preparations,2018,November,1223.441
Fruits & preparations,2018,December,1384.984
"Fruits, fresh or frozen",2018,January,1512.881
"Fruits, fresh or frozen",2018,February,1417.354
"Fruits, fresh or frozen",2018,March,1502.432
