"month","year","Confirmed_of_Month","Deaths_of_Month","Recovered_of_Month","Active_of_Month"
"01","2021",712743620,12065552,281390807,414707181
"02","2021",776095587,13604746,315752651,443429068
"03","2021",918773231,16613577,64955171,104770363
"04","2020",15470806,839162,2758175,13196283
"04","2021",946792340,16932388,0,0
"05","2020",45255507,2703429,8720047,33799468
"05","2021",1022505669,18143358,0,0
"06","2020",65019394,3492939,17434297,43969970
"06","2021",1007002612,17997023,0,0
"07","2020",111628340,4300055,34028380,72852387
"07","2021",1060556197,18857217,0,0
"08","2020",166816427,5253535,56877502,104211606
"08","2021",1150130183,19359928,0,0
"09","2020",199630465,5875774,75486815,117734699
"09","2021",1249350656,20086503,0,0
"10","2020",252203706,6781716,99506279,144641623
"10","2021",1392004618,22487828,0,0
"11","2020",340354935,7495698,128481290,200579073
"11","2021",1273673712,20629433,0,0
"12","2020",529509030,9668341,203565923,310841616
