"product_types","month","export_value","year"
"Live animals","January",85.927,2021
"Live animals","Feburary",81.311,2021
"Live animals","March",95.874,2021
"Live animals","April",103.188,2021
"Live animals","May",88.002,2021
"Live animals","June",103.134,2021
"Live animals","July",87.649,2021
"Live animals","August",88.03,2021
"Live animals","September",98.678,2021
"Red meats and products","January",1363.629,2021
"Red meats and products","Feburary",1364.441,2021
"Red meats and products","March",1686.463,2021
"Red meats and products","April",1637.307,2021
"Red meats and products","May",1801.33,2021
"Red meats and products","June",1584.554,2021
"Red meats and products","July",1682.146,2021
"Red meats and products","August",1762.818,2021
"Red meats and products","September",1638.512,2021
"Poultry meats and products","January",414.423,2021
"Poultry meats and products","Feburary",409.345,2021
"Poultry meats and products","March",507.266,2021
"Poultry meats and products","April",493.842,2021
"Poultry meats and products","May",535.083,2021
"Poultry meats and products","June",515.972,2021
"Poultry meats and products","July",522.538,2021
"Poultry meats and products","August",540.25,2021
"Poultry meats and products","September",513.355,2021
"Dairy products","January",498.565,2021
"Dairy products","Feburary",558.244,2021
"Dairy products","March",680.303,2021
"Dairy products","April",682.26,2021
"Dairy products","May",682.834,2021
"Dairy products","June",664.417,2021
"Dairy products","July",662.323,2021
"Dairy products","August",682.816,2021
"Dairy products","September",650.058,2021
"Hides and skins","January",72.567,2021
"Hides and skins","Feburary",72.632,2021
"Hides and skins","March",91.291,2021
"Hides and skins","April",95.995,2021
"Hides and skins","May",131.081,2021
"Hides and skins","June",103.566,2021
"Hides and skins","July",103.712,2021
"Hides and skins","August",124.146,2021
"Hides and skins","September",93.944,2021
"Grains and feeds","January",3334.321,2021
"Grains and feeds","Feburary",3446.308,2021
"Grains and feeds","March",4664.738,2021
"Grains and feeds","April",4752.305,2021
"Grains and feeds","May",4680.595,2021
"Grains and feeds","June",3874.954,2021
"Grains and feeds","July",3726.586,2021
"Grains and feeds","August",3400.423,2021
"Grains and feeds","September",2803.213,2021
"Wheat","January",540.644,2021
"Wheat","Feburary",510.541,2021
"Wheat","March",593.736,2021
"Wheat","April",718.252,2021
"Wheat","May",688.012,2021
"Wheat","June",574.076,2021
"Wheat","July",590.951,2021
"Wheat","August",806.001,2021
"Wheat","September",754.331,2021
"Rice","January",138.513,2021
"Rice","Feburary",160.986,2021
"Rice","March",155.952,2021
"Rice","April",211.099,2021
"Rice","May",176.092,2021
"Rice","June",165.694,2021
"Rice","July",140.966,2021
"Rice","August",187.821,2021
"Rice","September",115.021,2021
"Corn","January",1346.667,2021
"Corn","Feburary",1582.073,2021
"Corn","March",2409.265,2021
"Corn","April",2239.85,2021
"Corn","May",2356.854,2021
"Corn","June",1854.906,2021
"Corn","July",1637.603,2021
"Corn","August",995.334,2021
"Corn","September",702.493,2021
"Other grain products","January",382.202,2021
"Other grain products","Feburary",365.158,2021
"Other grain products","March",450.115,2021
"Other grain products","April",429.541,2021
"Other grain products","May",421.517,2021
"Other grain products","June",416.996,2021
"Other grain products","July",408.1,2021
"Other grain products","August",425.274,2021
"Other grain products","September",396.406,2021
"Animal feeds and oil meal","January",1315.683,2021
"Animal feeds and oil meal","Feburary",1241.001,2021
"Animal feeds and oil meal","March",1385.553,2021
"Animal feeds and oil meal","April",1284.101,2021
"Animal feeds and oil meal","May",1305.911,2021
"Animal feeds and oil meal","June",1177.428,2021
"Animal feeds and oil meal","July",1235.223,2021
"Animal feeds and oil meal","August",1294.446,2021
"Animal feeds and oil meal","September",1070.924,2021
"Soybeans","January",4147.51,2021
"Soybeans","Feburary",2294.018,2021
"Soybeans","March",1220.487,2021
"Soybeans","April",770.298,2021
"Soybeans","May",740.515,2021
"Soybeans","June",553.041,2021
"Soybeans","July",527.053,2021
"Soybeans","August",748.264,2021
"Soybeans","September",1217.006,2021
"Other oilseeds","January",174.462,2021
"Other oilseeds","Feburary",164.867,2021
"Other oilseeds","March",188.386,2021
"Other oilseeds","April",181.858,2021
"Other oilseeds","May",184.927,2021
"Other oilseeds","June",167.239,2021
"Other oilseeds","July",170.395,2021
"Other oilseeds","August",154.194,2021
"Other oilseeds","September",146.954,2021
"Vegetable oils","January",356.302,2021
"Vegetable oils","Feburary",314.796,2021
"Vegetable oils","March",317.086,2021
"Vegetable oils","April",326.548,2021
