"product_type","year","month","import_volume"
"Wine 4/","2018","January",96.7029
"Wine 4/","2018","February",99.9516
"Wine 4/","2018","March",116.1774
"Wine 4/","2018","April",109.4439
"Wine 4/","2018","May",99.5456
"Wine 4/","2018","June",85.5065
"Wine 4/","2018","July",98.8232
"Wine 4/","2018","August",100.6661
"Wine 4/","2018","September",86.3015
"Wine 4/","2018","October",106.8183
"Wine 4/","2018","November",106.2883
"Wine 4/","2018","December",92.6216
"Malt beverages 4/","2018","January",331.6908
"Malt beverages 4/","2018","February",307.1104
"Malt beverages 4/","2018","March",354.5349
"Malt beverages 4/","2018","April",376.0353
"Malt beverages 4/","2018","May",407.9506
"Malt beverages 4/","2018","June",373.5032
"Malt beverages 4/","2018","July",394.3925
"Malt beverages 4/","2018","August",379.3727
"Malt beverages 4/","2018","September",329.2464
"Malt beverages 4/","2018","October",331.2321
"Malt beverages 4/","2018","November",299.1445
"Malt beverages 4/","2018","December",300.5433
"Cattle & calves","2018","January",114.278
"Cattle & calves","2018","February",153.951
"Cattle & calves","2018","March",199.078
"Cattle & calves","2018","April",172.772
"Cattle & calves","2018","May",169.813
"Cattle & calves","2018","June",154.685
"Cattle & calves","2018","July",126.622
"Cattle & calves","2018","August",119.865
"Cattle & calves","2018","September",117.718
"Cattle & calves","2018","October",167.968
"Cattle & calves","2018","November",208.127
"Cattle & calves","2018","December",194.636
"Beef & veal","2018","January",84.4506
"Beef & veal","2018","February",74.7957
"Beef & veal","2018","March",86.0888
"Beef & veal","2018","April",79.5922
"Beef & veal","2018","May",94.3935
"Beef & veal","2018","June",99.0482
"Beef & veal","2018","July",99.7255
"Beef & veal","2018","August",92.3396
"Beef & veal","2018","September",81.2823
"Beef & veal","2018","October",79.7328
"Beef & veal","2018","November",74.1844
"Beef & veal","2018","December",72.1997
"Dairy products","2018","January",22.877559
"Dairy products","2018","February",20.132082
"Dairy products","2018","March",22.032028
"Dairy products","2018","April",23.816328
"Dairy products","2018","May",25.706971
"Dairy products","2018","June",21.937558
"Dairy products","2018","July",28.127558
"Dairy products","2018","August",25.862085
"Dairy products","2018","September",23.608726
"Dairy products","2018","October",29.962264
"Dairy products","2018","November",27.823643
"Dairy products","2018","December",30.386639
"Processed grains, ex. feed","2018","January",260.6165
"Processed grains, ex. feed","2018","February",209.7862
"Processed grains, ex. feed","2018","March",336.528
"Processed grains, ex. feed","2018","April",237.4893
"Processed grains, ex. feed","2018","May",305.9919
"Processed grains, ex. feed","2018","June",283.1585
"Processed grains, ex. feed","2018","July",222.1066
"Processed grains, ex. feed","2018","August",270.1882
"Processed grains, ex. feed","2018","September",295.5314
"Processed grains, ex. feed","2018","October",443.0464
"Processed grains, ex. feed","2018","November",324.5173
"Processed grains, ex. feed","2018","December",368.466
"Fruits, fresh or frozen","2018","January",1142.7934
"Fruits, fresh or frozen","2018","February",1113.5444
"Fruits, fresh or frozen","2018","March",1248.0231
"Fruits, fresh or frozen","2018","April",1272.7076
"Fruits, fresh or frozen","2018","May",1291.3996
"Fruits, fresh or frozen","2018","June",1077.2304
"Fruits, fresh or frozen","2018","July",1038.247
"Fruits, fresh or frozen","2018","August",984.0228
